title,salary_from,salary_to
Odoo python-разработчик,3500,
Преподаватель Python в детскую IT - школу,1000,
Python BackEnd developer,,
Python BackEnd developer,,
Python BackEnd developer,,
Python BackEnd developer,,
Senior python developer,,
Middle Python developer,,
Middle Python Developer,,
Senior Python developer,,
Python TeamLead / Senior Python Developer,200000,
Team Lead Data Science with Python/ML (Middle/Senior),6000,
Разработчик Python (Senior),,
Senior Python Developer,,
Middle+ Python Developer,,
Lead Python Developer,,
Python разработчик,,150000
Младший Python/Go разработчик (Yappy),,
"Специалист по тестированию (Python), Логистика, Ozon Partners Platform",50000,
"Специалист по тестированию (Python), Логистика, Ozon Partners Platform",,
"Специалист по тестированию (Python), Логистика, Ozon Partners Platform",,
Backend Team Lead (Python),,
Python разработчик (Middle),,
Ведущий разработчик Python,,
QA auto specialist (Python),,
Программист С++ и Python,,
Junior Python Developer,50000,
Разработчик Python middle+,150000,
Python Developer Middle,,
Automation QA Engineer (Python),,
Senior Python developer / Старший разработчик на Python (DCIM),,
Разработчик Python,,
Middle/Senior Python Developer,,
Senior Python developer,,
Senior Python-developer,270000,
Разработчик Python / интеграции,,
Python разработчик (Middle),100000,180000
QA Automation Engineer (Python),,
ML-Python разработчик,,
Разработчик (Python),2500,3000
Разработчик (Python),,
Middle/Senior Python developer,,
Strong Python Developer - Remote,2500,3000
Middle+/Senior Python Developer,,
Python Developer (собственная low-code RPA-платформа),,
Middle Python Backend Developer,,
PHP/Python backend разработчик,,
PHP/Python backend разработчик,,
Python-разработчик (Junior-Middle) по работе с данными в прайc-агрегатор good.sale,50000,150000
Python/JS FullStack developer,,
Python-разработчик (Junior/Junior+),,
Go/Python developer (middle+/senior),,
"Аналитик данных (Python, SQL)",,
"Аналитик данных (Python, SQL)",,
"Аналитик данных (Python, SQL)",,
QA Automation Engineer (Python),,
QA Automation Engineer (Python),,
QA Automation Engineer (Python),,
QA Automation Engineer (Python),,
Data Engineer (Python / Redshift) Senior,,
Python-программист (Python backend developer),100000,
Python-программист (Python backend developer),100000,
Python-программист (Python backend developer),100000,
Python-программист (Python backend developer),100000,
Senior QA automation engineer (Python),,
"Инженер по автоматизации тестирования, Python, API, Ozon Bank",,
QA Automation (Python),,
Senior Python Developer (задачи оптимизации),,
Middle / Senior Backend программист (Python),,
Full-Stack разработчик на React/Python (автоматизации сетевых и облачных сервисов),,
Senior Python разработчик,,370000
Разработчик Python (middle),,
Trainee/Intern/Junior Python backend developer,10000,30000
Разработчик Python (Middle),,
Senior Python-разработчик,,
Python разработчик\Внедренец (Москва и область),,
Senior Python engineer,3000,6500
Senior Python разработчик (Django),,
Python разработчик,,
Python-разработчик (Middle/Junior),,
QA Automation Engineer (Python),,
Ведущий разработчик (Python),150000,200000
Ведущий разработчик (Python),150000,200000
Backend разработчик Django (Middle),180000,200000
Fullstack-разработчик,,
Software Development Engineer in Test/SDET в 5G Core (Python),,
QA Automation engineer (Python),,
Python-разработчик (middle),,
Senior Python-разработчик,,
Senior Python-разработчик,,
Senior Python-разработчик,,
Senior Python Developer,,3000
Senior Python Developer,,3000
Разработчик в тестировании / SDET (Python),,
QA Automation Engineer Python (Проект импортозамещения),,
Python Django Developer,1000,1500
Ментор по Python,960,1680
Инженер-программист (Python),,
Middle+/Senior QA automation (Python),,
Программист С++/Python,,
Программист Python (команда анализа данных),,
QA automation engineer (Python) / Инженер по автоматизированному тестированию (Release engineering),,
Backend PHP / Python - разработчик  (Middle/Junior),280000,
Backend PHP / Python - разработчик  (Middle/Junior),,
Backend PHP / Python - разработчик  (Middle/Junior),,
Backend PHP / Python - разработчик  (Middle/Junior),,
Middle QA Auto Python [Технологические платформы],,
Программист Python (full stack),,
QA Automation Python (удаленно),,
Python-разработчик (команда цифровых медиа активов),,
Главный программист Python (FastAPI),280000,
Педагог дополнительного образования (программирование на Python),45000,70000
QA Auto Lead Python (Инвестиционный бизнес),,
"Backend-разработчик (Python, Django)",180000,
Python разработчик (в отдел искусственного интеллекта),,
Ведущий программист C++/Python,,
Продакт Разработчик Python AI,1900,2700
Data Аналитик,400000,
Automation Test Engineer Python (NMS),,
Automation Test Engineer Python (NMS),,
Аналитик-разработчик в Яндекс Маркет,,
Backend разработчик Python middle,100000,120000
Python Developer (Senior | Lead),,
NetOps (Python) / Сетевой инженер по автоматизации (Kornfeld),,80000
NetOps (Python) / Сетевой инженер по автоматизации (Kornfeld),,
Python программист Middle/Senior,,
NetOps (Python) / Сетевой инженер по автоматизации (Kornfeld),,
Senior Python Developer (База данных),,
Тестировщик ПО (Python) / QA Engineer,,
Python Developer (Middle/Senior),,
Junior Python Backend Developer,,80000
Ведущий аналитик данных (Python),,
Data Engineer в команду Integration (Python/SQL),320000,500000
Senior Python разработчик (команда СУМ),,
NetOps (Python) / Сетевой инженер по автоматизации (Kornfeld),,
Преподаватель курса Python Developer,600,1600
QA Automation Python (Rubackup),,
Преподаватель курса Python Developer,600,1600
Инженер по автоматизации тестирования (Python),,
Преподаватель компьютерных курсов,,60000
Преподаватель/Учитель по Python/Репетитор IT курсов для детей по готовым программам,20000,40000
Junior Python разработчик дата-платформы,,
"Преподаватель дисциплин: «Программирование на языке python», «Основы программирования»",80000,
Machine Learning Engineer (Search),,
Старший системный администратор,80000,120000
Старший системный администратор,80000,120000
Senior Python разработчик на проект создания частного облака,,
Инженер по автоматизации тестирования / QA Automation Engineer (Python),,
Ведущий специалист по информационной безопасности,,
"Software Engineer - NextFlow & Python, New Zealand",5000,6500
Backend-разработчик на Python 3,,
Python-разработчик в команду Compute,,
Python-разработчик в команду Compute,,
"Аналитик отчетности (Excel, SQL, Python)",,
"Аналитик финансового сектора (SQL, Python)",,
Дежурный инженер Linux,,
Эксперт отдела регионального планирования СМБ,,
Python-разработчик в отдел BI (Офис),,218400
Data scientist,,
"Старший инженер по автоматизации тестирования, Python, API, Ozon Банк",,
"Инженер по автоматизации тестирования (Python, back-end), Ozon Банк",,
"Инженер по автоматизации тестирования (Python, back-end), Ozon Банк",,
Backend разработчик PLM и САПР систем на Java/Python,,
QA automation engineer (Selenium + Python),,
QA Automation Engineer Python (Проект импортозамещения),,
Руководитель группы эффективности распределительного центра,2500,5000
Руководитель группы эффективности распределительного центра,,
Data Scientist в команду риск - моделирования КИБ и СМБ,,
"ML Engineer (Stable Diffusion, Computer Vision)",2500,5000
Middle Frontend разработчик системы автоматизации технологических процессов в энергетике,150000,
"Разработчик 1С (ИИ, JavaScript, C++, Python)",,
Senior Python Developer в команду бэкенд-инфраструктуры,,
Data Scientist Middle,,
Middle/Senior Python Developer with DS Knowledge,,
Инженер по тестированию (QA/SDET),,
Data Scientist,450000,
ML-инженер/engineer в финтех гигант,,
"Главный аналитик банковского сектора (SQL, Python)",,
AQA Engineer (Middle+/Senior) / Автотестировщик,,
"Преподаватель IT- курсов (Python, Scratch, дизайн)",,
QA-инженер,600000,800000
Эксперт по автоматизации тестирования на Python [Governance],,
Автотестировщик / Auto QA Engineer (Python )​​​​​​​ middle) Офис,,150000
Middle в отдел DevOps,170000,200000
Администратор SIEM (Splunk),,
Администратор SIEM (Splunk),,
Аналитик данных/управляющий продуктом,300000,
Аналитик данных/управляющий продуктом,,
"Старший разработчик Python, группа разработки AirFlow as service",,
Senior Python Developer в команду бэкенд-инфраструктуры ВКонтакте,,
Техлид команды по разработке беспилотных систем,300000,
Ведущий инженер по машинному обучению (Senior ML engineer),,250000
Data Engineer,,350000
Backend-разработчик,,200000
Стажер IT нагрузочное тестирование (Ульяновск),45000,50000
Ведущий Devops - инженер,,
Руководитель веб-разработки,200000,
Data Scientist,,
Программист (разработчик коннекторов SIEM),,
Инженер-архитектор по сопровождению сетевой инфраструктуры,,
Intern Server Core Programmer,,
Программист С++,80000,170000
Аналитик данных,100000,160000
Стажёр — продуктовый аналитик,,
Специалист по Безопасности (Junior),,
"Senior FullStack разработчик (Fast API, VueJS)",800000,1200000
Бизнес-аналитик,169000,
Старший аналитик по прогнозам (Коммерческие показатели),,7000
Старший аналитик по прогнозам (Коммерческие показатели),,
QA-инженер по автоматизации тестирования СУБД Postgres Pro (Python),,
DevOps инженер,,
DevOps-инженер со знанием C++,,
DevOps инженер,,
Senior Backend Engineer в Финтех стартап,,7000
Преподаватель программирования в онлайн-школу,70000,
Программист-робототехник,,
Инженер-робототехник,,
Tech Lead,,
Бизнес-аналитик подразделения Проблемные активы,,
Системный администратор,,
Старший аналитик,,
Консультант отдела бизнес-анализа,260000,
Специалист по фаззинг-тестированию и тестированию на проникновение,,
Стажер IT,40000,40000
Стажер IT,40000,40000
"Стажер IT (нагрузочное тестирование), Ижевск",45000,50000
Преподаватель Scratch / Roblox / Веб разработка,60000,90000
Программист в отдел разработки,,
Инженер БРЭО (БПЛА),100000,
Инженер БРЭО (БПЛА),100000,
AI Engineer,,
Портфельный риск-менеджер,,
Middle Python-разработчик (Инженер-программист 2 категории)(01050-1),130000,
Prompt - инженер / Промпт - инженер,200000,
Senior Product Analyst,4000,6000
Риск - аналитик (рыночные риски),,
Инженер-программист по администрированию и автоматизации приложений мониторинга,,
Программист Python (на сбор тендерной и справочной информации с экспертизой управления качеством),,
Linux System Administrator (Server Administrator),,
Прикладной администратор,,
Системный администратор Linux / DevOps инженер,140000,230000
Junior WEB-разработчик,170000,
Devops Specialist (администратор),100000,210000
Engineering Team Lead,,
Devops Specialist (администратор),100000,210000
Python Developer in Test / Инженер-программист (Common Yadro Platform),,
Системный администратор OpenSource,,
Эконометрист/Data scientist (Junior/Middle) в консалтинг,50000,
Помощник аналитика,,
Аналитик по продажам,120000,
Аналитик по продажам,120000,
ML Ops Engineer,,
Разработчик интерфейсов (начинающий/junior),,
Инженер развития и внедрения,,
PHP-программист,80000,130000
Аналитик-исследователь в центр исследований и аналитики,,
Middle CRM Analyst (Microloans),,
Старший системный администратор Linux,150000,
